PVTTABLE LABEL = "NONEQ TABSAT4",PHASE = TWO,\
STDPRESSURE = 101325.0 Pa,\
STDTEMPERATURE = 288.15 K,\
PRESSURE = (, 100000.0, 5000000.0, 12000000.0, 19000000.0, 26000000.0, 33000000.0, 40000000.0, 47000000.0) Pa,\
TEMPERATURE = (, -3.15, 21.85, 46.85, 71.85, 96.85) C,\
BUBBLEPRESSURES = (, 1000000000000.0, 1000000000000.0, 1000000000000.0, 1000000000000.0, 1000000000000.0) Pa,\
BUBBLETEMPERATURES = (, -3.15, 21.85, 46.85, 71.85, 96.85) C,\
DEWPRESSURES = (, 0.0, 0.0, 0.0, 0.0, 0.0) Pa,\
DEWTEMPERATURES = (, -3.15, 21.85, 46.85, 71.85, 96.85) C,\
COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL)
PVTTABLE POINT = (26000000.0, 46.85, 233.0, 796.0, 6.49e-06, 9.7e-07, -1.55, -0.966, 0.0, 2.7e-05, 0.000135, 2120.0, 1760.0, 588000.0, 356000.0, 0.087, 0.0733, 0.00674)
PVTTABLE POINT = (26000000.0, 71.85, 212.0, 784.0, 6.37e-06, 1.15e-06, -1.25, -1.03, 0.0, 2.5e-05, 0.000129, 2180.0, 1870.0, 635000.0, 402000.0, 0.0854, 0.0764, 0.0078)
PVTTABLE POINT = (26000000.0, 96.85, 197.0, 771.0, 6.19e-06, 1.36e-06, -1.04, -1.1, 0.0, 2.4e-05, 0.000122, 2250.0, 1980.0, 681000.0, 450000.0, 0.0859, 0.0797, 0.0083)
PVTTABLE POINT = (33000000.0, -3.15, 400.0, 823.0, 3.7e-06, 5.87e-07, -2.35, -0.754, 0.0, 6.13e-05, 0.000149, 1890.0, 1530.0, 445000.0, 272000.0, 0.12, 0.0686, 0.000845)
PVTTABLE POINT = (33000000.0, 21.85, 360.0, 813.0, 4.46e-06, 7.03e-07, -2.2, -0.808, 0.0, 4.85e-05, 0.000144, 1970.0, 1640.0, 494000.0, 312000.0, 0.109, 0.0712, 0.00149)
PVTTABLE POINT = (33000000.0, 46.85, 327.0, 803.0, 5e-06, 8.35e-07, -1.96, -0.861, 0.0, 4.06e-05, 0.000138, 2050.0, 1760.0, 542000.0, 355000.0, 0.102, 0.0741, 0.00222)
PVTTABLE POINT = (33000000.0, 71.85, 304.0, 791.0, 5.3e-06, 9.83e-07, -1.74, -0.913, 0.0, 3.61e-05, 0.000133, 2120.0, 1870.0, 588000.0, 401000.0, 0.0987, 0.0773, 0.00277)
PVTTABLE POINT = (33000000.0, 96.85, 292.0, 780.0, 5.49e-06, 1.15e-06, -1.57, -0.964, 0.0, 3.39e-05, 0.000127, 2190.0, 1980.0, 629000.0, 449000.0, 0.0977, 0.0807, 0.00296)
PVTTABLE POINT = (40000000.0, -3.15, 527.0, 827.0, 5.21e-06, 5.21e-07, -0.688, -0.689, 0.0, 5.2e-05, 0.000152, 1530.0, 1530.0, 276000.0, 257000.0, 0.0692, 0.0692, 0.000288)
PVTTABLE POINT = (40000000.0, 21.85, 518.0, 818.0, 6.19e-06, 6.19e-07, -0.733, -0.733, 0.0, 4.6e-05, 0.000146, 1640.0, 1640.0, 315000.0, 297000.0, 0.0719, 0.0719, 0.000465)
PVTTABLE POINT = (40000000.0, 46.85, 508.0, 808.0, 7.29e-06, 7.32e-07, -0.776, -0.78, 0.0, 4.1e-05, 0.000142, 1760.0, 1760.0, 358000.0, 340000.0, 0.0749, 0.0751, 0.000738)
PVTTABLE POINT = (40000000.0, 71.85, 498.0, 798.0, 8.52e-06, 8.51e-07, -0.82, -0.819, 0.0, 3.6e-05, 0.000136, 1870.0, 1870.0, 403000.0, 386000.0, 0.0782, 0.0781, 0.000926)
PVTTABLE POINT = (40000000.0, 96.85, 487.0, 787.0, 9.85e-06, 9.84e-07, -0.861, -0.859, 0.0, 3.1e-05, 0.000131, 1980.0, 1980.0, 451000.0, 435000.0, 0.0817, 0.0816, 0.000328)
PVTTABLE POINT = (47000000.0, -3.15, 631.0, 831.0, 4.66e-06, 4.66e-07, -0.632, -0.632, 0.0, 5.4e-05, 0.000154, 1530.0, 1530.0, 276000.0, 258000.0, 0.0697, 0.0697, 0.000288)
PVTTABLE POINT = (47000000.0, 21.85, 622.0, 822.0, 5.5e-06, 5.5e-07, -0.67, -0.67, 0.0, 4.9e-05, 0.000149, 1640.0, 1640.0, 315000.0, 298000.0, 0.0724, 0.0724, 0.000465)
PVTTABLE POINT = (47000000.0, 46.85, 613.0, 813.0, 6.44e-06, 6.44e-07, -0.707, -0.706, 0.0, 4.4e-05, 0.000144, 1760.0, 1760.0, 358000.0, 341000.0, 0.0755, 0.0755, 0.000738)
PVTTABLE POINT = (47000000.0, 71.85, 603.0, 803.0, 7.46e-06, 7.46e-07, -0.741, -0.742, 0.0, 3.9e-05, 0.000139, 1870.0, 1870.0, 403000.0, 387000.0, 0.0788, 0.0788, 0.000926)
PVTTABLE POINT = (47000000.0, 96.85, 594.0, 794.0, 8.57e-06, 8.57e-07, -0.775, -0.775, 0.0, 3.4e-05, 0.000134, 1980.0, 1980.0, 451000.0, 436000.0, 0.0824, 0.0824, 0.000328)
