-15,-44,49,70,21,-7,12,-7,-27,-15
-22,-1,18,19,20,-69,-10,-9,17,6
-57,-17,11,33,40,-46,33,-7,8,-23
-44,-56,52,3,21,-54,-5,2,10,1
-6,25,47,63,-13,-20,79,19,27,-44
45,-5,-3,-22,-14,5,8,26,-27,-20
-52,-48,24,26,24,-12,-27,19,3,1
17,-102,19,38,1,0,72,-13,-4,-20
52,28,78,27,10,-62,-3,66,12,14
-21,-30,42,55,54,-51,13,-36,16,23
15,-72,48,36,27,-43,-2,-1,-11,-34
-5,-15,51,29,49,-64,-54,-127,5,-14
-35,1,-7,17,29,-7,-65,1,5,11
-21,-45,13,36,57,13,-13,-59,4,11
18,-3,71,113,33,-73,42,41,2,-50
33,-21,-28,-20,-8,-18,42,17,-20,-23
10,0,-3,-81,-87,36,122,31,-13,-11
7,-45,17,-34,-9,-36,-97,42,-20,-53
66,-15,21,-22,9,-45,2,27,12,-24
34,-41,81,39,34,-39,39,16,-13,-1
-35,6,-5,-5,-29,7,-4,6,-38,-11
33,0,-1,3,-32,-22,65,90,-17,-22
-10,-46,-13,25,65,-71,-69,-39,18,15
33,-9,5,-19,53,-34,3,7,30,25
18,31,-117,-108,-7,-34,-34,115,22,85
57,-20,74,6,10,10,8,-15,-83,-123
-27,-31,8,-1,-11,40,-48,-9,-19,-22
-12,-8,9,-6,-38,14,5,-17,-33,-12
44,-6,-14,10,20,-107,-6,37,-17,8
20,33,-50,-67,31,-77,16,88,43,-17
-8,-49,20,24,19,-14,13,-3,-3,2
-63,-9,43,61,37,-72,0,-107,6,-11
-43,-55,11,45,37,-36,36,-34,10,-30
-17,-81,24,46,17,-16,-26,-40,-38,-51
51,-7,6,-5,11,-27,4,35,-1,-10
6,-10,-13,-21,-14,-35,-29,18,-15,-23
16,-4,0,19,-6,12,46,-32,-6,26
-5,-63,7,60,2,-33,40,9,-23,-4
0,-43,37,27,6,-6,1,-8,5,-16
16,-32,64,66,39,-15,31,0,-1,-7
