PVTTABLE LABEL = "NONEQ TABSAT5", PHASE = TWO,\ 
COMPONENTS = ("CH4","C2H6","C3H8","iC4H10","nC4H10","iC5H12","nC5H12","nC6H14","nC7H16","nC8H18","nC9H20","nC10H22","nC11H24","nC12H26","nC14H30","N2","H2O","CO2","C15+"),\
PVTTABLE POINT = (12000000.0,46.0,277.6662957078727,651.7257618620333,8.25051300305695e-07,8.322906817070562e-07,-0.4230621835345823,-0.436245698077943,0.9660324439465015,0.002570149432033011,0.0019062478765289456,7581.971318897791,3221.7190353434207,-186890.88432173803,-1926131.4978045514,0.0467835892930553,0.06287840140351562,4.972765568161551,100.0,100.0)
PVTTABLE POINT = (12000000.0,49.0,267.26727382835406,652.4288261005332,8.469541602607479e-07,8.606496170158711e-07,-0.4273469888975383,-0.44470072400311184,0.9672915119058407,0.0025161590908686403,0.0019652475894074094,7001.087704492223,3158.329767530613,-179153.5263631586,-1786812.9611908104,0.04584863266799012,0.06364310821319603,5.184912882723086,100.0,100.0)
PVTTABLE POINT = (12000000.0,52.0,257.96358840836405,652.8191654159077,8.693895521952236e-07,8.903560074040195e-07,-0.4316733840978792,-0.45348003325520153,0.9689291091277854,0.0024715618358118227,0.0020246429780243626,6494.527339643898,3102.7323598576413,-170052.73071741872,-1652913.9248872418,0.045063397423531854,0.06438193822183304,5.385365588289899,100.0,100.0)
PVTTABLE POINT = (12000000.0,55.0,249.57712696997027,652.9407230627685,8.923710656771714e-07,9.214478847398845e-07,-0.4360417834988803,-0.4625730546859914,0.9707876140577887,0.002434449508945321,0.0020856417298026936,6054.5001810976355,3053.903186667327,-159937.8806751445,-1524669.534826614,0.044401067519170084,0.06509147158934674,5.573978823738943,100.0,100.0)
PVTTABLE POINT = (12000000.0,58.0,241.9650844002364,652.8454251808415,9.159126632748164e-07,9.540047831993837e-07,-0.44045259680893206,-0.4719910977689176,0.972765243430606,0.0024033853109921045,0.0021487845466179006,5672.251674410347,3010.7261582298743,-149078.80883807223,-1401815.3579774112,0.0438407180070718,0.06577107258227961,5.751360144913837,100.0,100.0)
PVTTABLE POINT = (12000000.0,61.0,235.01223098380885,652.5827395190651,9.40028690555119e-07,9.88140695120324e-07,-0.4449062284825297,-0.4817613523342402,0.9747940761894148,0.0023772709280086833,0.002203969601262006,5339.421770542645,2972.170541080576,-137688.268819971,-1283865.2239633994,0.043365867736783914,0.06642164531094827,5.918483216824336,100.0,100.0)
PVTTABLE POINT = (12000000.0,64.0,228.62482713808575,652.1968778972702,9.647338862716517e-07,1.0240014519524228e-06,-0.4494030770800037,-0.49192369632301486,0.9768271750288415,0.002355230505092218,0.002259658795385135,5048.571442564533,2937.337009532467,-125937.89838557784,-1170242.910981528,0.042963400668245014,0.06704502421718429,6.0765130950253665,100.0,100.0)
PVTTABLE POINT = (12000000.0,67.0,222.72592563565757,651.725833170453,9.90043392736259e-07,1.0617639788610322e-06,-0.4539435345837536,-0.5025285665451154,0.978830746440795,0.002336609120394137,0.002316475807974026,4793.309137741655,2905.4643842029186,-113969.71506608557,-1060358.7854116922,0.042622767708529755,0.06764358479288962,6.226702177167204,100.0,100.0)
PVTTABLE POINT = (12000000.0,70.0,217.25181838480015,651.201204830313,1.0159727663675411e-06,1.1016372716509704e-06,-0.45852798566856595,-0.5136356476448588,0.9807794642873001,0.0023208781311733987,0.002375050948000503,4568.24201563146,2875.921424397306,-101903.91211963724,-953655.4357889984,0.04233539931680755,0.06822001284824984,6.370333778440109,100.0,100.0)
PVTTABLE POINT = (12000000.0,73.0,212.14934881802938,650.6475870090563,1.0425379884079003e-06,1.1438642491920922e-06,-0.46315680692348155,-0.5253127896519081,0.9826536925777638,0.002307560911014264,0.0024359720436629233,4368.860836133918,2848.1992571975497,-89843.91381452419,-849644.4970176178,0.04209427031886581,0.06877711690544736,6.508676086478194,100.0,100.0)
PVTTABLE POINT = (12000000.0,76.0,207.37389311046908,650.0814204163593,1.0697554757996246e-06,1.1887242792301236e-06,-0.4678303660226086,-0.5376350046718078,0.9844379858704403,0.0022963401623217485,0.0024997231563604013,4191.41020010765,2821.9065830303325,-77879.12681325804,-747939.3088769205,0.04189357620830618,0.06931766822478899,6.642941349066727,100.0,100.0)
PVTTABLE POINT = (12000000.0,79.0,202.8878395128296,649.5923291296793,1.0976420922084958e-06,1.2365356677327579e-06,-0.47254902084203343,-0.5506832196789362,0.9861204279895087,0.002286875933247426,0.0025668222588590022,4032.7659253577294,2796.7693044930857,-66085.85076489765,-648287.8266318226,0.0417284898782901,0.06984422537468522,6.774236527982355,100.0,100.0)
PVTTABLE POINT = (12000000.0,82.0,198.65944490757533,650.7828203480638,1.126215159181848e-06,1.2876569073915787e-06,-0.47731311851991537,-0.5645423629622697,0.9876925615051838,0.0022789605255664563,0.0026416571283598314,3890.327724064727,2772.6320994568327,-54526.61172035709,-550603.7817082135,0.041594977166326486,0.07035892280951461,6.903501451856749,100.0,100.0)
PVTTABLE POINT = (12000000.0,85.0,194.66195436646143,652.0991226096456,1.1554924674259738e-06,1.3424858790422714e-06,-0.48212299445667434,-0.579298770678872,0.98914964591252,0.0022724055887382243,0.002719967932836248,3761.9283518516363,2749.457055583073,-43248.54218157381,-454986.7429496972,0.04148965403688805,0.07086325570065603,7.03144407421058,100.0,100.0)
PVTTABLE POINT = (12000000.0,88.0,190.87289504966134,653.5277267997591,1.185492288185786e-06,1.4014557125850153e-06,-0.4869789712520853,-0.5950367412172958,0.990491015157617,0.002267035125147828,0.0028009833381170647,3645.757778954429,2727.3142421897787,-32281.428101265803,-361721.5711196498,0.041409673040159356,0.0713578842349475,7.158485117797403,100.0,100.0)
PVTTABLE POINT = (12000000.0,91.0,187.27346285341517,655.0395506714245,1.2162333847066896e-06,1.465026196330756e-06,-0.4918813575757652,-0.6118341848932348,0.9917202560238655,0.0022627349548030966,0.0028832823685026937,3540.299923318612,2706.3613420633774,-21636.383737782016,-271250.81720728474,0.041352629474100615,0.0718424832450945,7.284729462979537,100.0,100.0)
PVTTABLE POINT = (12000000.0,94.0,183.8479510649081,656.5916132476094,1.247735023757084e-06,1.5336721242159368e-06,-0.49683044696767326,-0.6297582486366811,0.9928450411157411,0.002259374980912374,0.0029643270651681613,3444.279673906587,2686.810389053003,-11305.849296506494,-184114.83858345216,0.041316481248067624,0.07231573067544324,7.410025488393203,100.0,100.0)
PVTTABLE POINT = (12000000.0,97.0,180.58320018673146,658.1308250676465,1.2800169871857816e-06,1.6078698104081969e-06,-0.5018265165647097,-0.6488612929574745,0.9938765349819264,0.0022568958458598085,0.0030322318666961864,3356.6185621544087,2668.887928631194,-1265.2907461244613,-100872.89771548798,0.041299479480485464,0.07278107833494322,7.534733419739902,100.0,100.0)
