COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (42800000.0,85.0,557.0867313034403,557.0867313034403,7.356893257711244e-06,2.6794343336000462e-06,-2.1744548487158792,-1.4274543121195056,0.0,0.004695070966346975,0.00046950709663469745,3510.6954264646083,3510.714620175284,-91562.91266647168,-4585629.485427794,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (42800000.0,88.0,550.8917380602961,550.8917380602961,7.356893257711244e-06,9.639898833770445e-07,-2.1744548487158792,-0.5956686551149043,0.0,0.004681379273504645,0.0004681379273504646,3499.393518984329,3499.3924938409805,-85239.52578340843,-4579306.098544731,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (42800000.0,91.0,544.7735652317691,544.7735652317691,7.356893257711244e-06,6.115288252278539e-07,-2.1744548487158792,-0.3177478946683597,0.0,0.004667790447080225,0.0004667790447080225,3487.138906213032,3487.152648139023,-78921.10955691896,-4572987.682318241,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (42800000.0,94.0,538.7341213059691,538.7341213059691,6.095590711223126e-06,6.095590711223126e-06,-2.6287318434363205,-2.6287318434363205,1.0,0.0005796054505060269,0.0005796054505060269,3474.0562840737584,3474.0562840737584,-72608.40587896854,-72608.40587896854,0.09288123234645922,0.09288123234645922,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,97.0,532.775100457931,532.775100457931,6.148992802627621e-06,6.148992802627621e-06,-2.59078731984923,-2.59078731984923,1.0,0.0005706141925249824,0.0005706141925249824,3460.166250562071,3460.166250562071,-66302.10842701606,-66302.10842701606,0.09197554193664574,0.09197554193664574,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,100.0,526.8979843785525,526.8979843785525,6.19888797627787e-06,6.19888797627787e-06,-2.5522398022322137,-2.5522398022322137,1.0,0.0005619940747266094,0.0005619940747266094,3445.5464600853466,3445.5464600853466,-60002.8615149837,-60002.8615149837,0.09110181934738462,0.09110181934738462,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,103.0,521.1040449840307,521.1040449840307,6.245291094612699e-06,6.245291094612699e-06,-2.513187481970958,-2.513187481970958,1.0,0.0005537298247526592,0.0005537298247526592,3430.261323823083,3430.261323823083,-53711.25875782687,-53711.25875782687,0.09025952696555695,0.09025952696555695,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,106.0,515.3943488959729,515.3943488959729,6.288230434467126e-06,6.288230434467126e-06,-2.4737259233781845,-2.4737259233781845,1.0,0.0005458074692112207,0.0005458074692112207,3414.375221513496,3414.375221513496,-47427.84267537389,-47427.84267537389,0.08944810008517634,0.08944810008517634,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,109.0,509.7697631087774,509.7697631087774,6.327746733881878e-06,6.327746733881878e-06,-2.433947548027242,-2.433947548027242,1.0,0.0005382133094195721,0.0005382133094195721,3397.9520079732615,3397.9520079732615,-41153.10458949674,-41153.10458949674,0.08866695031517292,0.08866695031517292,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,112.0,504.230961762118,504.230961762118,6.363892171244021e-06,6.363892171244021e-06,-2.3939411899848904,-2.3939411899848904,1.0,0.00053093417097778,0.00053093417097778,3381.0545644562235,3381.0545644562235,-34887.485057924874,-34887.485057924874,0.08791546893379379,0.08791546893379379,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,115.0,498.77843360322976,498.77843360322976,6.396729297953337e-06,6.396729297953337e-06,-2.353791722655312,-2.353791722655312,1.0,0.0005239574688938692,0.0005239574688938692,3363.744393063639,3363.744393063639,-28631.374371485785,-28631.374371485785,0.08719303011010138,0.08719303011010138,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,118.0,493.4124898225685,493.4124898225685,6.426329944687917e-06,6.426329944687917e-06,-2.3135797564208733,-2.3135797564208733,1.0,0.0005172708069347847,0.0005172708069347847,3346.081257731425,3346.081257731425,-22385.11293138843,-22385.11293138843,0.08649899394001528,0.08649899394001528,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,121.0,488.13327381200247,488.13327381200247,6.452774119817283e-06,6.452774119817283e-06,-2.273381404932459,-2.273381404932459,1.0,0.0005108623641420617,0.0005108623641420617,3328.1228845478586,3328.1228845478586,-16148.9934171848,-16148.9934171848,0.08583270959575592,0.08583270959575592,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,124.0,482.9407698667385,482.9407698667385,6.476148916692541e-06,6.476148916692541e-06,-2.23326811678289,-2.23326811678289,1.0,0.0005047206878623884,0.0005047206878623884,3309.9246989458848,3309.9246989458848,-9923.261407349259,-9923.261407349259,0.0851935180330029,0.0851935180330029,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,127.0,477.8348129635528,477.8348129635528,6.496547444518906e-06,6.496547444518906e-06,-2.1933065683973676,-2.1933065683973676,1.0,0.0004988348887472405,0.0004988348887472405,3291.539617374499,3291.539617374499,-3708.117125047371,-3708.117125047371,0.08458075467535861,0.08458075467535861,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,130.0,472.8150990938659,472.8150990938659,6.514067795384789e-06,6.514067795384789e-06,-2.1535586132935527,-2.1535586132935527,1.0,0.0004931942952339653,0.0004931942952339653,3273.0178871957673,3273.0178871957673,2496.2822828404605,2496.2822828404605,0.08399375198487757,0.08399375198487757,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,40.0,676.3777355544833,676.3777355544833,6.514067795384789e-06,4.315651500111117e-07,-2.1535586132935527,-0.3069187694418879,0.0,0.004945609911892856,0.0004945609911892855,3389.3926476781403,3389.3928769166846,-186801.35423080996,-4680867.926992132,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (47200000.0,43.0,669.8029876952254,669.8029876952254,6.514067795384789e-06,8.624426054998497e-07,-2.1535586132935527,-0.5255191172933782,0.0,0.00494243621298552,0.000494243621298552,3395.837265674527,3395.838647554914,-180638.35635276604,-4674704.929114088,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (47200000.0,46.0,663.2499370035474,663.2499370035474,6.514067795384789e-06,9.459417228046006e-07,-2.1535586132935527,-1.3781833427052244,0.0,0.004938544961038832,0.0004938544961038832,3401.280932781794,3401.2823123227477,-174465.64289712626,-4668532.215658449,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (47200000.0,49.0,656.7219951176982,656.7219951176982,6.514067795384789e-06,3.658981233995098e-07,-2.1535586132935527,-0.24095662008418747,0.0,0.004934016722991985,0.0004934016722991985,3405.713171090694,3405.711666282969,-168284.02859959938,-4662350.601360922,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (47200000.0,52.0,650.2225346956095,650.2225346956095,6.514067795384789e-06,7.381326274306136e-07,-2.1535586132935527,-0.474187044833401,0.0,0.004928997649603219,0.0004928997649603219,3409.121306813122,3409.118697608579,-162094.33776944783,-4656160.91053077,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (47200000.0,55.0,643.7548761101,643.7548761101,6.514067795384789e-06,6.76047996773562e-07,-2.1535586132935527,-0.4741330737069362,0.0,0.004923987755641039,0.0004923987755641038,3411.4948813376636,3411.4996885983337,-155897.40015203878,-4649963.972913361,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (47200000.0,58.0,637.3222759835727,637.3222759835727,6.514067795384789e-06,4.923439077572271e-07,-2.1535586132935527,-0.332344915532064,0.0,0.00491961813803756,0.000491961813803756,3412.831234674624,3412.8552828145193,-149694.04872176796,-4643760.62148309,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (47200000.0,61.0,630.9279144723914,630.9279144723914,6.514067795384789e-06,5.359131675040548e-07,-2.1535586132935527,-0.3673175608976574,0.0,0.004912087765794337,0.0004912087765794337,3413.1776426350857,3413.190492167151,-143485.1153336512,-4637551.688094974,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (47200000.0,64.0,624.5748839991314,624.5748839991314,6.514067795384789e-06,6.09061850742115e-07,-2.1535586132935527,-0.4259613911978314,0.0,0.004903985455486747,0.0004903985455486747,3412.517846298387,3412.514666282122,-137271.42778734583,-4631338.000548668,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (47200000.0,67.0,618.2661776426532,618.2661776426532,6.514067795384789e-06,7.159717976094947e-07,-2.1535586132935527,-0.5096715379410558,0.0,0.004895346277999674,0.0004895346277999673,3411.034884483635,3410.841403386091,-131053.80560155585,-4625120.378362878,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (47200000.0,70.0,612.0046799699554,612.0046799699554,6.514067795384789e-06,7.940548333329477e-07,-2.1535586132935527,-0.5637638672765553,0.0,0.00488620728010307,0.000488620728010307,3408.1856905048326,3408.1884254344595,-124833.0579289142,-4618899.630690237,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (47200000.0,73.0,605.7931564846292,605.7931564846292,6.514067795384789e-06,9.412802386312616e-07,-2.1535586132935527,-0.6830436271448159,0.0,0.0048766069693829545,0.0004876606969382954,3404.5876521765786,3404.5773988202936,-118609.97909949254,-4612676.551860815,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (47200000.0,76.0,599.6342456979357,599.6342456979357,6.514067795384789e-06,1.1026460979747035e-06,-2.1535586132935527,-0.7826805028841809,0.0,0.0048665852830100005,0.000486658528301,3400.0270553809287,3400.03372128948,-112385.34625127725,-4606451.9190126,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (47200000.0,79.0,593.530451387282,593.530451387282,6.514067795384789e-06,1.2813402286974062e-06,-2.1535586132935527,-0.9043803336137572,0.0,0.004856187349696542,0.0004856187349696542,3394.5374787656156,3394.5862708842387,-106159.91616243124,-4600226.488923754,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (47200000.0,82.0,587.4841359622562,587.4841359622562,6.514067795384789e-06,1.6742646699321605e-06,-2.1535586132935527,-1.1405328497757892,0.0,0.004845466209166064,0.0004845466209166064,3388.2766097237395,3388.2671186096677,-99934.42247553077,-4594000.995236853,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (47200000.0,85.0,581.4975153457088,581.4975153457088,6.514067795384789e-06,2.3792491313292155e-06,-2.1535586132935527,-1.3377018553252862,0.0,0.004834491649330866,0.00048344916493308656,3381.1674198050946,3381.1112227746676,-93709.57357446384,-4587776.146335786,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (47200000.0,88.0,575.5726538136687,575.5726538136687,6.514067795384789e-06,9.062542352727142e-07,-2.1535586132935527,-0.5734152703917127,0.0,0.0048233699138518675,0.00048233699138518676,3373.1678853810936,3373.1560909653836,-87486.0494638877,-4581552.62222521,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (47200000.0,91.0,569.7114615252391,569.7114615252391,6.514067795384789e-06,5.670709888283177e-07,-2.1535586132935527,-0.3032537057171035,0.0,0.004812308274857239,0.0004812308274857239,3364.8366325181396,3364.441439748022,-81264.50068204384,-4575331.073443366,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (47200000.0,94.0,563.9156916874076,563.9156916874076,5.3765454713272906e-06,5.3765454713272906e-06,-2.5206592146015043,-2.5206592146015043,1.0,0.000625157143182382,0.000625157143182382,3355.0088342902836,3355.0088342902836,-75045.54580049682,-75045.54580049682,0.09820295354866529,0.09820295354866529,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,97.0,558.1869396299679,558.1869396299679,5.427579781314221e-06,5.427579781314221e-06,-2.489027838484756,-2.489027838484756,1.0,0.0006155427146920555,0.0006155427146920555,3344.9013312713746,3344.9013312713746,-68829.77020825446,-68829.77020825446,0.09728099816445683,0.09728099816445683,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,100.0,552.5266428758275,552.5266428758275,5.4759575966273826e-06,5.4759575966273826e-06,-2.4567898744935786,-2.4567898744935786,1.0,0.0006062997772887473,0.0006062997772887473,3334.163123076112,3334.163123076112,-62617.725094089285,-62617.725094089285,0.09638867882476507,0.09638867882476507,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,103.0,546.9360816290571,546.9360816290571,5.521671123246117e-06,5.521671123246117e-06,-2.4240196199209683,-2.4240196199209683,1.0,0.0005974143981724397,0.0005974143981724397,3322.8391857023053,3322.8391857023053,-56409.92607258819,-56409.92607258819,0.09552557571293328,0.09552557571293328,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,106.0,541.4163806088108,541.4163806088108,5.564722025497613e-06,5.564722025497613e-06,-2.3907901579871984,-2.3907901579871984,1.0,0.0005888717825173295,0.0005888717825173295,3310.974941583039,3310.974941583039,-50206.85260355286,-50206.85260355286,0.09469124463025827,0.09469124463025827,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,109.0,535.9685117282122,535.9685117282122,5.6051209615882526e-06,5.6051209615882526e-06,-2.3571729797697842,-2.3571729797697842,1.0,0.000580663377645885,0.000580663377645885,3298.615937237876,3298.615937237876,-44008.947562726215,-44008.947562726215,0.09388521948528196,0.09388521948528196,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,112.0,530.593297603059,530.593297603059,5.6428870638550865e-06,5.6428870638550865e-06,-2.3232376442760145,-2.3232376442760145,1.0,0.0005727744664049751,0.0005727744664049751,3285.8075422218353,3285.8075422218353,-37816.61723026447,-37816.61723026447,0.09310701477486238,0.09310701477486238,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,115.0,525.2914155519395,525.2914155519395,5.678047374495528e-06,5.678047374495528e-06,-2.2890514782946805,-2.2890514782946805,1.0,0.0005651920127173534,0.0005651920127173534,3272.5946672289674,3272.5946672289674,-31630.231231459416,-31630.231231459416,0.09235612798503798,0.09235612798503798,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,118.0,520.0634018378528,520.0634018378528,5.710636247409793e-06,5.710636247409793e-06,-2.25467931682696,-2.25467931682696,1.0,0.0005579041995323442,0.0005579041995323442,3259.0215047910474,3259.0215047910474,-25450.122260768898,-25450.122260768898,0.09163204186429577,0.09163204186429577,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,121.0,514.9096577126619,514.9096577126619,5.740694726440212e-06,5.740694726440212e-06,-2.220183284123778,-2.220183284123778,1.0,0.0005508997659370182,0.0005508997659370182,3245.131304153724,3245.131304153724,-19276.587536582723,-19276.587536582723,0.09093422688145544,0.09093422688145544,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,124.0,509.8304544301601,509.8304544301601,5.76826990974764e-06,5.76826990974764e-06,-2.1856226146629445,-2.1856226146629445,1.0,0.0005441676562432375,0.0005441676562432375,3230.9661619512067,3230.9661619512067,-13109.888630423695,-13109.888630423695,0.09026214330282245,0.09026214330282245,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,127.0,504.8259393394554,504.8259393394554,5.793414309365776e-06,5.793414309365776e-06,-2.1510535127940047,-2.1510535127940047,1.0,0.0005376973904289616,0.0005376973904289616,3216.5668453547005,3216.5668453547005,-6950.252388319932,-6950.252388319932,0.08961524331983639,0.08961524331983639,0.0,100.0,100.0)
PVTTABLE POINT = (47200000.0,130.0,499.8961426024866,499.8961426024866,5.816185214155652e-06,5.816185214155652e-06,-2.1165290492678333,-2.1165290492678333,1.0,0.0005314787705156716,0.0005314787705156716,3201.9726436985547,3201.9726436985547,-797.8723611012101,-797.8723611012101,0.08899297313596047,0.08899297313596047,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,40.0,693.3220898912973,693.3220898912973,5.816185214155652e-06,4.080359283746753e-07,-2.1165290492678333,-0.2966663513249234,0.0,0.005031320161300146,0.0005031320161300145,3266.7133152587894,3266.7144358137352,-186647.54453691002,-4680714.117298232,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (51600000.0,43.0,687.0996062041701,687.0996062041701,5.816185214155652e-06,7.987730193815507e-07,-2.1165290492678333,-0.5013529856776341,0.0,0.005030588083800403,0.0005030588083800403,3272.693239303934,3272.694881479297,-180585.53872601874,-4674652.111487341,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (51600000.0,46.0,680.8953932609295,680.8953932609295,5.816185214155652e-06,9.021772691140356e-07,-2.1165290492678333,-1.3361260733433076,0.0,0.005029151173630599,0.00050291511736306,3277.871538023965,3277.8713601753293,-174513.92072394304,-4668580.493485265,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (51600000.0,49.0,674.712280345759,674.712280345759,5.816185214155652e-06,3.438377731285164e-07,-2.1165290492678333,-0.23189329025665792,0.0,0.005027088402638787,0.0005027088402638787,3282.239027537817,3282.2354818934073,-168433.3432862833,-4662499.916047606,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (51600000.0,52.0,668.5530656286219,668.5530656286219,5.816185214155652e-06,6.864913610285449e-07,-2.1165290492678333,-0.45318601061294106,0.0,0.005024545835642925,0.0005024545835642924,3285.784942269651,3285.7817727186743,-162344.46641033515,-4656411.0391716575,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (51600000.0,55.0,662.4205065450392,662.4205065450392,5.816185214155652e-06,6.324111753831257e-07,-2.1165290492678333,-0.4547979305042311,0.0,0.005022033675099084,0.0005022033675099084,3288.4971756763734,3288.5077291654784,-156247.954168492,-4650314.526929814,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (51600000.0,58.0,656.317311849311,656.317311849311,5.816185214155652e-06,4.61654347896952e-07,-2.1165290492678333,-0.319181530692331,0.0,0.005020191290558463,0.0005020191290558463,3290.3743044516555,3290.4138564302634,-150144.4734950764,-4644211.046256399,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (51600000.0,61.0,650.2461324073244,650.2461324073244,5.816185214155652e-06,5.021686962356866e-07,-2.1165290492678333,-0.3525100312491546,0.0,0.005015109506283086,0.0005015109506283086,3291.4882141816074,3291.5036669550104,-144034.6908504106,-4638101.263611733,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (51600000.0,64.0,644.2095532136876,644.2095532136876,5.816185214155652e-06,5.699882837533368e-07,-2.1165290492678333,-0.40832921433125835,0.0,0.005009446210319655,0.0005009446210319655,3291.7841533078163,3291.783660509689,-137919.27030067332,-4631985.843061996,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (51600000.0,67.0,638.2100849160881,638.2100849160881,5.816185214155652e-06,6.685320919784309e-07,-2.1165290492678333,-0.4877568439553333,0.0,0.005003233214371632,0.0005003233214371631,3291.350961262079,3291.2632663797012,-131798.87029413693,-4625865.443055459,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (51600000.0,70.0,632.2501574264261,632.2501574264261,5.816185214155652e-06,7.398126612848578e-07,-2.1165290492678333,-0.5386748102106397,0.0,0.0049965049165194625,0.0004996504916519462,3289.9909578833567,3289.9547680252176,-125674.14254757948,-4619740.715308902,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (51600000.0,73.0,626.3321119924037,626.3321119924037,5.816185214155652e-06,8.744199202112563e-07,-2.1165290492678333,-0.651419914210656,0.0,0.004989295730026382,0.0004989295730026381,3287.86822865076,3287.87319230763,-119545.72853082232,-4613612.301292145,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (51600000.0,76.0,620.4581954685092,620.4581954685092,5.816185214155652e-06,1.0197082636223341e-06,-2.1165290492678333,-0.7444510924392683,0.0,0.004981643510169624,0.0004981643510169624,3285.031065393617,3285.036180698356,-113414.2579802312,-4607480.830741554,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (51600000.0,79.0,614.6305544860498,614.6305544860498,5.816185214155652e-06,1.1801565980375342e-06,-2.1165290492678333,-0.8583517389763378,0.0,0.004973590460518526,0.0004973590460518526,3281.4730715317546,3281.4638371202354,-107280.34655592684,-4601346.919317249,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (51600000.0,82.0,608.8512303034722,608.8512303034722,5.816185214155652e-06,1.5271897074436712e-06,-2.1165290492678333,-1.0779048224913428,0.0,0.004965186733710283,0.0004965186733710283,3277.164635960958,3277.178551781978,-101144.59379728325,-4595211.166558606,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (51600000.0,85.0,603.1221549158619,603.1221549158619,5.816185214155652e-06,2.135866867890125e-06,-2.1165290492678333,-1.2605736862317232,0.0,0.0049565008528184296,0.0004956500852818429,3272.2101500100966,3272.204816458686,-95007.58170470409,-4589074.154466026,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (51600000.0,88.0,597.4451466251836,597.4451466251836,5.816185214155652e-06,8.540628671151101e-07,-2.1165290492678333,-0.552917326635996,0.0,0.004947638127861957,0.0004947638127861956,3266.695505960426,3266.569014392583,-88869.87216698099,-4582936.444928303,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (51600000.0,91.0,591.8219079509079,591.8219079509079,5.816185214155652e-06,5.277822262650391e-07,-2.1165290492678333,-0.29014450601186464,0.0,0.004938807469070251,0.0004938807469070251,3260.261116276677,3260.299211565058,-82732.00637202803,-4576798.57913335,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (51600000.0,94.0,586.2540228726957,586.2540228726957,4.796307111119357e-06,4.796307111119357e-06,-2.4185096893585207,-2.4185096893585207,1.0,0.0006690888147462567,0.0006690888147462567,3253.4249305440353,3253.4249305440353,-76594.50270385668,-76594.50270385668,0.10316306374057127,0.10316306374057127,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,97.0,580.7429555644044,580.7429555644044,4.84414771972724e-06,4.84414771972724e-06,-2.391708555683977,-2.391708555683977,1.0,0.0006589182131016299,0.0006589182131016299,3245.9769257747575,3245.9769257747575,-70457.85581921879,-70457.85581921879,0.10223119737134723,0.10223119737134723,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,100.0,575.2900498106911,575.2900498106911,4.889932354810115e-06,4.889932354810115e-06,-2.364328109743968,-2.364328109743968,1.0,0.0006491198699398594,0.0006491198699398594,3237.9869568786244,3237.9869568786244,-64322.53583160136,-64322.53583160136,0.1013269443662425,0.1013269443662425,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,103.0,569.8965285605052,569.8965285605052,4.933644265588818e-06,4.933644265588818e-06,-2.3364257673356335,-2.3364257673356335,1.0,0.0006396804756842883,0.0006396804756842883,3229.4875605288726,3229.4875605288726,-58188.987043146975,-58188.987043146975,0.1004499691911624,0.1004499691911624,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,106.0,564.5634945308261,564.5634945308261,4.97527343940757e-06,4.97527343940757e-06,-2.308058422479665,-2.308058422479665,1.0,0.0006305870299264628,0.0006305870299264628,3220.511829496621,3220.511829496621,-52057.627382055856,-52057.627382055856,0.0995999146441226,0.0995999146441226,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,109.0,559.2919314132785,559.2919314132785,5.01481637058645e-06,5.01481637058645e-06,-2.279282172655479,-2.279282172655479,1.0,0.0006218270471441351,0.0006218270471441351,3211.0931975635594,3211.0931975635594,-45928.84790320415,-45928.84790320415,0.09877640373271337,0.09877640373271337,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,112.0,554.0827057001356,554.0827057001356,5.05227578910855e-06,5.05227578910855e-06,-2.250152065483236,-2.250152065483236,1.0,0.0006133884238148417,0.0006133884238148417,3201.2652354414595,3201.2652354414595,-39803.012631869875,-39803.012631869875,0.09797904156228901,0.09797904156228901,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,115.0,548.936568835592,548.936568835592,5.087660354760937e-06,5.087660354760937e-06,-2.2207218683480283,-2.2207218683480283,1.0,0.0006052593105422522,0.0006052593105422522,3191.0614550383075,3191.0614550383075,-33680.45828518551,-33680.45828518551,0.09720741716811143,0.09720741716811143,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,118.0,543.8541594798794,543.8541594798794,5.12098432246203e-06,5.12098432246203e-06,-2.191043861997837,-2.191043861997837,1.0,0.0005974273726277985,0.0005974273726277985,3180.5151249580263,3180.5151249580263,-27561.493708716705,-27561.493708716705,0.09646110524781196,0.09646110524781196,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,121.0,538.8360074272748,538.8360074272748,5.15226718449807e-06,5.15226718449807e-06,-2.1611686587027332,-2.1611686587027332,1.0,0.0005898847955638046,0.0005898847955638046,3169.659107299328,3169.659107299328,-21446.400999317877,-21446.400999317877,0.09573966811566251,0.09573966811566251,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,124.0,533.8825364712511,533.8825364712511,5.181533295273564e-06,5.181533295273564e-06,-2.131145045148005,-2.131145045148005,1.0,0.0005826199757575304,0.0005826199757575304,3158.5256996861635,3158.5256996861635,-15335.434939309023,-15335.434939309023,0.09504265730860553,0.09504265730860553,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,127.0,528.9940682821751,528.9940682821751,5.208811483963062e-06,5.208811483963062e-06,-2.1010198498544246,-2.1010198498544246,1.0,0.000575621617449915,0.000575621617449915,3147.1464976684265,3147.1464976684265,-9228.82349121105,-9228.82349121105,0.09436961528344122,0.09436961528344122,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,130.0,524.1708268890385,524.1708268890385,5.2341346601550065e-06,5.2341346601550065e-06,-2.0708378345809475,-2.0708378345809475,1.0,0.0005688798251584621,0.0005688798251584621,3135.552274315232,3135.552274315232,-3126.7687727762386,-3126.7687727762386,0.09372007711561751,0.09372007711561751,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,40.0,708.5584064532607,708.5584064532607,5.2341346601550065e-06,3.8651152611874117e-07,-2.0708378345809475,-0.2871194640028919,0.0,0.0051078551814260804,0.0005107855181426081,3164.787727598019,3164.7889634483563,-186048.53726136964,-4680115.110022692,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (56000000.0,43.0,702.6417974328228,702.6417974328228,5.2341346601550065e-06,7.4270584679521e-07,-2.0708378345809475,-0.4795484977947505,0.0,0.005109232195079825,0.0005109232195079825,3170.3846680329257,3170.384948889242,-180071.6939716488,-4674138.266732971,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
