COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (12000000.0,46.0,277.6662957078727,651.7257618620333,2.09724046705194e-06,2.09724046705194e-06,-0.9152580703039337,-0.9152580703039337,0.9660324439465015,0.002570149432033011,0.0019062478765289456,7581.971318897791,3221.7190353434207,-186890.88432173803,-1926131.4978045514,0.0467835892930553,0.06287840140351562,4.972765568161551,100.0,100.0)
PVTTABLE POINT = (12000000.0,49.0,267.26727382835406,652.4288261005332,1.5759149333752041e-06,1.5759149333752041e-06,-1.9291341654326788,-1.9291341654326788,0.9672915119058407,0.0025161590908686403,0.0019652475894074094,7001.087704492223,3158.329767530613,-179153.5263631586,-1786812.9611908104,0.04584863266799012,0.06364310821319603,5.184912882723086,100.0,100.0)
PVTTABLE POINT = (12000000.0,52.0,257.96358840836405,652.8191654159077,6.952789929384534e-07,6.952789929384534e-07,-0.3592959724668226,-0.3592959724668226,0.9689291091277854,0.0024715618358118227,0.0020246429780243626,6494.527339643898,3102.7323598576413,-170052.73071741872,-1652913.9248872418,0.045063397423531854,0.06438193822183304,5.385365588289899,100.0,100.0)
PVTTABLE POINT = (12000000.0,55.0,249.57712696997027,652.9407230627685,1.6716123615027323e-06,1.6716123615027323e-06,-0.7962298555981305,-0.7962298555981305,0.9707876140577887,0.002434449508945321,0.0020856417298026936,6054.5001810976355,3053.903186667327,-159937.8806751445,-1524669.534826614,0.044401067519170084,0.06509147158934674,5.573978823738943,100.0,100.0)
PVTTABLE POINT = (12000000.0,58.0,241.9650844002364,652.8454251808415,1.4118137977837993e-06,1.4118137977837993e-06,-0.7551761932208941,-0.7551761932208941,0.972765243430606,0.0024033853109921045,0.0021487845466179006,5672.251674410347,3010.7261582298743,-149078.80883807223,-1401815.3579774112,0.0438407180070718,0.06577107258227961,5.751360144913837,100.0,100.0)
PVTTABLE POINT = (12000000.0,61.0,235.01223098380885,652.5827395190651,9.737104593008242e-07,9.737104593008242e-07,-0.5124072263096345,-0.5124072263096345,0.9747940761894148,0.0023772709280086833,0.002203969601262006,5339.421770542645,2972.170541080576,-137688.268819971,-1283865.2239633994,0.043365867736783914,0.06642164531094827,5.918483216824336,100.0,100.0)
PVTTABLE POINT = (12000000.0,64.0,228.62482713808575,652.1968778972702,1.0738424263762526e-06,1.0738424263762526e-06,-0.5730265630193145,-0.5730265630193145,0.9768271750288415,0.002355230505092218,0.002259658795385135,5048.571442564533,2937.337009532467,-125937.89838557784,-1170242.910981528,0.042963400668245014,0.06704502421718429,6.0765130950253665,100.0,100.0)
PVTTABLE POINT = (12000000.0,67.0,222.72592563565757,651.725833170453,1.2509070835272803e-06,1.2509070835272803e-06,-0.67762275400425,-0.67762275400425,0.978830746440795,0.002336609120394137,0.002316475807974026,4793.309137741655,2905.4643842029186,-113969.71506608557,-1060358.7854116922,0.042622767708529755,0.06764358479288962,6.226702177167204,100.0,100.0)
PVTTABLE POINT = (12000000.0,70.0,217.25181838480015,651.201204830313,1.5360827470652412e-06,1.5360827470652412e-06,-0.8363609433095732,-0.8363609433095732,0.9807794642873001,0.0023208781311733987,0.002375050948000503,4568.24201563146,2875.921424397306,-101903.91211963724,-953655.4357889984,0.04233539931680755,0.06822001284824984,6.370333778440109,100.0,100.0)
PVTTABLE POINT = (12000000.0,73.0,212.14934881802938,650.6475870090563,1.7728144940818586e-06,1.7728144940818586e-06,-0.9514205196210553,-0.9514205196210553,0.9826536925777638,0.002307560911014264,0.0024359720436629233,4368.860836133918,2848.1992571975497,-89843.91381452419,-849644.4970176178,0.04209427031886581,0.06877711690544736,6.508676086478194,100.0,100.0)
PVTTABLE POINT = (12000000.0,76.0,207.37389311046908,650.0814204163593,2.2454824594871413e-06,2.2454824594871413e-06,-1.2036159648535125,-1.2036159648535125,0.9844379858704403,0.0022963401623217485,0.0024997231563604013,4191.41020010765,2821.9065830303325,-77879.12681325804,-747939.3088769205,0.04189357620830618,0.06931766822478899,6.642941349066727,100.0,100.0)
PVTTABLE POINT = (12000000.0,79.0,202.8878395128296,649.5923291296793,2.8954662057822906e-06,2.8954662057822906e-06,-1.4640687113080744,-1.4640687113080744,0.9861204279895087,0.002286875933247426,0.0025668222588590022,4032.7659253577294,2796.7693044930857,-66085.85076489765,-648287.8266318226,0.0417284898782901,0.06984422537468522,6.774236527982355,100.0,100.0)
PVTTABLE POINT = (12000000.0,82.0,198.65944490757533,650.7828203480638,3.737266784094175e-06,3.737266784094175e-06,-1.7997539632439448,-1.7997539632439448,0.9876925615051838,0.0022789605255664563,0.0026416571283598314,3890.327724064727,2772.6320994568327,-54526.61172035709,-550603.7817082135,0.041594977166326486,0.07035892280951461,6.903501451856749,100.0,100.0)
PVTTABLE POINT = (12000000.0,85.0,194.66195436646143,652.0991226096456,6.655094566076598e-06,6.655094566076598e-06,-2.674367858310969,-2.674367858310969,0.98914964591252,0.0022724055887382243,0.002719967932836248,3761.9283518516363,2749.457055583073,-43248.54218157381,-454986.7429496972,0.04148965403688805,0.07086325570065603,7.03144407421058,100.0,100.0)
